Name	Profession
b'Tomasz Sekielski'	b'dziennikarze'
b'Tomasz Sekielski'	b'dziennikarze'
b'Tomasz Sekielski'	b'dziennikarze'
b'Tomasz Sekielski'	b'dziennikarze'
b'Tomasz Sekielski'	b'dziennikarze'
b'Marian Filar'	b'muzycy'
