Name	Profession
b'Damian Raczkowski'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Robert Tyszkiewicz'	b'politycy'
b'Robert Tyszkiewicz'	b'politycy'
b'Robert Tyszkiewicz'	b'politycy'
b'Robert Tyszkiewicz'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'Grzegorz Schetyna'	b'politycy'
b'Grzegorz Schetyna'	b'politycy'
