Name	Profession
b'Mariusz B\xc5\x82aszczak'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
