Name	Profession
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Grzegorz Napieralski'	b'politycy'
b'Grzegorz Napieralski'	b'politycy'
b'Grzegorz Napieralski'	b'politycy'
